complexity,loss,equation,score,sympy_format,lambda_format
1,4951.635,25.59828,0.0,25.5982800000000,PySRFunction(X=>25.5982800000000)
3,2213.9683,x0 * 15.71906,0.40246565443271815,x0*15.71906,PySRFunction(X=>x0*15.71906)
5,2033.4037,(x0 + x3) * 15.20314,0.04253771386884446,(x0 + x3)*15.20314,PySRFunction(X=>(x0 + x3)*15.20314)
6,2029.2443,(sqrt(x3) + x0) * 15.167997,0.0020476307340884163,15.167997*x0 + 15.167997*sqrt(x3),PySRFunction(X=>15.167997*x0 + 15.167997*sqrt(x3))
7,1827.249,((x0 + x1) - 4.523032) * 14.582238,0.10485190062792563,(x0 + x1 - 1*4.523032)*14.582238,PySRFunction(X=>(x0 + x1 - 1*4.523032)*14.582238)
8,1635.8447,exp(x1 + -2.7067842) + (x0 * 13.996871),0.1106522500833569,x0*13.996871 + exp(x1 - 2.7067842),PySRFunction(X=>x0*13.996871 + exp(x1 - 2.7067842))
9,1180.1106,(x0 * 14.538836) + exp(exp(x1 - 5.1142025)),0.3265511441255071,x0*14.538836 + exp(exp(x1 - 1*5.1142025)),PySRFunction(X=>x0*14.538836 + exp(exp(x1 - 1*5.1142025)))
11,1172.9371,((x0 * 14.55543) + exp(exp(x1 - 5.1010137))) - 2.6779642,0.0030486089268518604,x0*14.55543 + exp(exp(x1 - 1*5.1010137)) - 1*2.6779642,PySRFunction(X=>x0*14.55543 + exp(exp(x1 - 1*5.1010137)) - 1*2.6779642)
13,1142.8749,(exp((x1 * 3.4486597) - 20.413414) + x0) * sqrt(x2 + x2),0.012982007520670597,sqrt(2)*sqrt(x2)*(x0 + 1.36322311986834e-9*exp(3.4486597*x1)),PySRFunction(X=>sqrt(2)*sqrt(x2)*(x0 + 1.36322311986834e-9*exp(3.4486597*x1)))
15,725.9896,(exp((x1 * 4.8735085) - 28.362387) + x0) * sqrt((x2 - 44.240204) / 0.29534572),0.2268832596663166,(x0 + 4.81251207606324e-13*exp(4.8735085*x1))*sqrt(3.38586250716618*x2 - 149.791248032983),PySRFunction(X=>(x0 + 4.81251207606324e-13*exp(4.8735085*x1))*sqrt(3.38586250716618*x2 - 149.791248032983))
17,462.7127,(x0 + exp((x1 * 5.819278) - 33.80591)) * sqrt(((x2 * 1.0840468) + -48.521954) * 2.9724324),0.22521467326340697,(x0 + 2.08103714097725e-15*exp(5.819278*x1))*sqrt(3.22225583143632*x2 - 144.22822818091),PySRFunction(X=>(x0 + 2.08103714097725e-15*exp(5.819278*x1))*sqrt(3.22225583143632*x2 - 144.22822818091))
19,455.37057,((x0 + exp((x1 * 5.8550935) - 33.88466)) * sqrt(((x2 * 1.0862848) + -48.614616) * 2.41973)) - x1,0.007997408045524968,-x1 + (x0 + 1.92344220296422e-15*exp(5.8550935*x1))*sqrt(2.628515919104*x2 - 117.63424477368),PySRFunction(X=>-x1 + (x0 + 1.92344220296422e-15*exp(5.8550935*x1))*sqrt(2.628515919104*x2 - 117.63424477368))
20,454.73022,((x0 + exp((5.8550935 * x1) - 33.88466)) * sqrt(((1.0862848 * x2) + -48.614616) * sqrt(x1))) - x1,0.001407207009830452,-x1 + sqrt(sqrt(x1)*(1.0862848*x2 - 48.614616))*(x0 + 1.92344220296422e-15*exp(5.8550935*x1)),PySRFunction(X=>-x1 + sqrt(sqrt(x1)*(1.0862848*x2 - 48.614616))*(x0 + 1.92344220296422e-15*exp(5.8550935*x1)))
21,434.0754,((x0 + exp((x1 * 5.8550935) - 33.88466)) * sqrt(((x2 * 1.0862848) + -48.614616) * 2.41973)) + (x0 - x1),0.046486068296108754,x0 - x1 + (x0 + 1.92344220296422e-15*exp(5.8550935*x1))*sqrt(2.628515919104*x2 - 117.63424477368),PySRFunction(X=>x0 - x1 + (x0 + 1.92344220296422e-15*exp(5.8550935*x1))*sqrt(2.628515919104*x2 - 117.63424477368))
23,415.4511,((exp((x1 * 5.9742303) - 34.472324) + x0) * sqrt(((x2 * 1.0905035) + -48.802288) * ((x2 / 47.74974) + x3))) - x1,0.021926666945328525,-x1 + sqrt((0.0209425224095461*x2 + x3)*(1.0905035*x2 - 48.802288))*(x0 + 1.06871008682504e-15*exp(5.9742303*x1)),PySRFunction(X=>-x1 + sqrt((0.0209425224095461*x2 + x3)*(1.0905035*x2 - 48.802288))*(x0 + 1.06871008682504e-15*exp(5.9742303*x1)))
25,412.6416,(sqrt(((x2 * 1.0905035) + -48.802288) * ((x2 / 47.74974) + x3)) * (exp((x1 * 5.9742303) - 34.472324) + x0)) - (x3 + x1),0.003392749120727582,-x1 - x3 + sqrt((0.0209425224095461*x2 + x3)*(1.0905035*x2 - 48.802288))*(x0 + 1.06871008682504e-15*exp(5.9742303*x1)),PySRFunction(X=>-x1 - x3 + sqrt((0.0209425224095461*x2 + x3)*(1.0905035*x2 - 48.802288))*(x0 + 1.06871008682504e-15*exp(5.9742303*x1)))
