Температура,Деформация,Время,Напряжение,Угол_град,d_Деформация,d_Время,Скорость_деф
27.75,0.0,0.033,44.5218,0.0,,,
28.25,0.0,0.27,44.5252,0.0,0.0,0.23700000000000002,0.0
28.25,0.0,0.503,44.5234,0.0,0.0,0.23299999999999998,0.0
28.0,0.0,0.736,44.5199,0.0,0.0,0.23299999999999998,0.0
28.25,0.0,0.968,44.5265,0.0,0.0,0.23199999999999998,0.0
28.0,0.0,1.201,44.5292,0.0,0.0,0.2330000000000001,0.0
28.5,0.0,1.434,44.5226,0.0,0.0,0.23299999999999987,0.0
28.0,0.0,1.666,44.5233,0.0,0.0,0.23199999999999998,0.0
28.25,0.0,1.899,44.5254,0.0,0.0,0.2330000000000001,0.0
28.25,0.0,2.132,44.5278,0.0,0.0,0.2330000000000001,0.0
28.0,0.0,2.364,44.5239,0.0,0.0,0.23199999999999976,0.0
28.25,0.0,2.605,44.5261,0.0,0.0,0.2410000000000001,0.0
28.25,0.0,2.838,44.5211,0.0,0.0,0.2330000000000001,0.0
28.0,0.0,3.071,44.5236,0.0,0.0,0.2330000000000001,0.0
28.25,0.0,3.303,44.5258,0.0,0.0,0.23199999999999976,0.0
28.0,0.0,3.536,44.5275,0.0,0.0,0.2330000000000001,0.0
28.25,0.0,3.769,44.5259,0.0,0.0,0.2330000000000001,0.0
28.25,0.0,4.001,44.5252,0.0,0.0,0.2320000000000002,0.0
28.25,0.0,4.234,44.5233,0.0,0.0,0.23299999999999965,0.0
28.0,0.0,4.467,44.5273,0.0,0.0,0.23299999999999965,0.0
27.75,0.0,4.699,44.5216,0.0,0.0,0.2320000000000002,0.0
28.0,0.0,4.932,44.5265,0.0,0.0,0.23300000000000054,0.0
27.75,0.0,5.165,44.5202,0.0,0.0,0.23299999999999965,0.0
27.75,0.0,5.397,44.5257,0.0,0.0,0.2320000000000002,0.0
28.0,0.0,5.63,44.526,0.0,0.0,0.23299999999999965,0.0
28.0,0.0,5.863,44.5246,0.0,0.0,0.23300000000000054,0.0
27.75,0.0,6.095,44.5254,0.0,0.0,0.23199999999999932,0.0
28.25,0.0,6.328,44.5231,0.0,0.0,0.23300000000000054,0.0
28.25,0.0,6.561,44.5274,0.0,0.0,0.23299999999999965,0.0
28.25,0.0,6.793,44.5226,0.0,0.0,0.2320000000000002,0.0
27.75,0.0,7.026,44.5224,0.0,0.0,0.23299999999999965,0.0
27.75,0.0,7.259,44.5285,0.0,0.0,0.23300000000000054,0.0
28.5,0.0,7.491,44.5248,0.0,0.0,0.23199999999999932,0.0
27.75,0.0,7.724,44.527,0.0,0.0,0.23300000000000054,0.0
28.25,0.0,7.957,44.5209,0.0,0.0,0.23299999999999965,0.0
28.5,0.0,8.189,44.5254,0.0,0.0,0.2320000000000002,0.0
28.25,0.0,8.422,44.5292,0.0,0.0,0.23300000000000054,0.0
28.5,0.0,8.655,44.5247,0.0,0.0,0.23299999999999876,0.0
28.25,0.0,8.887,44.5177,0.0,0.0,0.2320000000000011,0.0
28.25,0.0,9.12,44.5222,0.0,0.0,0.23299999999999876,0.0
28.25,0.0,9.353,44.5246,0.0,0.0,0.23300000000000054,0.0
28.0,0.0,9.585,44.5222,0.0,0.0,0.2320000000000011,0.0
28.0,0.0,9.818,44.5223,0.0,0.0,0.23299999999999876,0.0
28.25,0.0,10.051,44.5217,0.0,0.0,0.23300000000000054,0.0
28.25,0.0,10.283,44.5214,0.0,0.0,0.23199999999999932,0.0
28.5,0.0,10.516,44.5257,0.0,0.0,0.23300000000000054,0.0
27.25,0.0,10.749,44.5257,0.0,0.0,0.23300000000000054,0.0
28.25,0.0,10.981,44.5197,0.0,0.0,0.23199999999999932,0.0
27.75,0.0,11.214,44.5205,0.0,0.0,0.23300000000000054,0.0
28.5,0.0,11.447,44.522,0.0,0.0,0.23299999999999876,0.0
28.25,0.0,11.679,44.5279,0.0,0.0,0.2320000000000011,0.0
27.75,0.0,11.912,44.52,0.0,0.0,0.23300000000000054,0.0
