complexity,loss,equation,score,sympy_format,lambda_format
1,4951.639,25.624702,0.0,25.6247020000000,PySRFunction(X=>25.6247020000000)
3,2214.1318,x0 * 15.612766,0.4024291350549824,x0*15.612766,PySRFunction(X=>x0*15.612766)
5,2033.6002,(x0 + x3) * 15.142002,0.04252632148787666,(x0 + x3)*15.142002,PySRFunction(X=>(x0 + x3)*15.142002)
6,1994.82,(x0 + cos(x1)) * 14.868444,0.01925389909345952,(x0 + cos(x1))*14.868444,PySRFunction(X=>(x0 + cos(x1))*14.868444)
7,1838.087,((x1 + x0) * 15.269133) + -69.50297,0.0818284638353123,(x0 + x1)*15.269133 - 69.50297,PySRFunction(X=>(x0 + x1)*15.269133 - 69.50297)
9,1809.7214,((x1 * (x0 + 6.5258236)) / 0.42738667) + -69.32705,0.007776223046770064,x1*(x0 + 6.5258236)/0.42738667 - 69.32705,PySRFunction(X=>x1*(x0 + 6.5258236)/0.42738667 - 69.32705)
11,1723.7003,sqrt(x1) * ((x0 + (sin(x1) - -1.491564)) * x1),0.02434979677804643,x1**(3/2)*(x0 + sin(x1) + 1.491564),PySRFunction(X=>x1**(3/2)*(x0 + sin(x1) + 1.491564))
12,1688.1163,sqrt(x1) * (((x0 + log(x1)) + sin(x1)) * x1),0.020860025317735332,x1**(3/2)*(x0 + log(x1) + sin(x1)),PySRFunction(X=>x1**(3/2)*(x0 + log(x1) + sin(x1)))
14,1608.9656,((x0 + sin(x1)) + (sin(x1) - -1.491564)) * (sqrt(x1) * x1),0.02401090193096868,x1**(3/2)*(x0 + 2*sin(x1) + 1.491564),PySRFunction(X=>x1**(3/2)*(x0 + 2*sin(x1) + 1.491564))
15,1510.1199,(sqrt(x3 * x1) * x1) * (((x1 * sin(x1)) - -2.4135427) + x0),0.06340243639471371,x1*sqrt(x1*x3)*(x0 + x1*sin(x1) + 2.4135427),PySRFunction(X=>x1*sqrt(x1*x3)*(x0 + x1*sin(x1) + 2.4135427))
16,1382.756,(sqrt(x1) * ((x0 - (sin(x1) - (x1 * sin(x1)))) + 2.7734375)) * x1,0.08811044258560603,x1**(3/2)*(x0 + x1*sin(x1) - sin(x1) + 2.7734375),PySRFunction(X=>x1**(3/2)*(x0 + x1*sin(x1) - sin(x1) + 2.7734375))
17,1355.7488,x1 * (((x0 - (sin(x1) - (sin(sin(x1)) * x1))) * sqrt(x1)) + x1),0.019724687442704683,x1*(sqrt(x1)*(x0 + x1*sin(sin(x1)) - sin(x1)) + x1),PySRFunction(X=>x1*(sqrt(x1)*(x0 + x1*sin(sin(x1)) - sin(x1)) + x1))
18,1341.4369,x1 * (((x0 - (sin(x1) - (x1 * sin(sin(sin(x1)))))) * sqrt(x1)) + x1),0.010612568741425016,x1*(sqrt(x1)*(x0 + x1*sin(sin(sin(x1))) - sin(x1)) + x1),PySRFunction(X=>x1*(sqrt(x1)*(x0 + x1*sin(sin(sin(x1))) - sin(x1)) + x1))
19,1338.9897,x1 * (x1 + ((x0 - ((cos(cos(x1)) - x1) * sin(sin(sin(x1))))) * sqrt(x1))),0.0018259785065212156,x1*(sqrt(x1)*(x0 - (-x1 + cos(cos(x1)))*sin(sin(sin(x1)))) + x1),PySRFunction(X=>x1*(sqrt(x1)*(x0 - (-x1 + cos(cos(x1)))*sin(sin(sin(x1)))) + x1))
20,1334.3419,(x1 * (x1 + ((x0 - (sin(x1) - (sin(sin(sin(x1))) * x1))) * sqrt(x1)))) - x0,0.003477162865178415,-x0 + x1*(sqrt(x1)*(x0 + x1*sin(sin(sin(x1))) - sin(x1)) + x1),PySRFunction(X=>-x0 + x1*(sqrt(x1)*(x0 + x1*sin(sin(sin(x1))) - sin(x1)) + x1))
