Complexity,Loss,Equation
1,4951.635,"25.59828"
3,2213.9683,"x0 * 15.71906"
5,2033.4037,"(x0 + x3) * 15.20314"
6,2029.2443,"(sqrt(x3) + x0) * 15.167997"
7,1827.249,"((x0 + x1) - 4.523032) * 14.582238"
8,1635.8447,"exp(x1 + -2.7067842) + (x0 * 13.996871)"
9,1180.1106,"(x0 * 14.538836) + exp(exp(x1 - 5.1142025))"
11,1172.9371,"((x0 * 14.55543) + exp(exp(x1 - 5.1010137))) - 2.6779642"
13,1142.8749,"(exp((x1 * 3.4486597) - 20.413414) + x0) * sqrt(x2 + x2)"
15,725.9896,"(exp((x1 * 4.8735085) - 28.362387) + x0) * sqrt((x2 - 44.240204) / 0.29534572)"
17,462.7127,"(x0 + exp((x1 * 5.819278) - 33.80591)) * sqrt(((x2 * 1.0840468) + -48.521954) * 2.9724324)"
19,455.37057,"((x0 + exp((x1 * 5.8550935) - 33.88466)) * sqrt(((x2 * 1.0862848) + -48.614616) * 2.41973)) - x1"
20,454.73022,"((x0 + exp((5.8550935 * x1) - 33.88466)) * sqrt(((1.0862848 * x2) + -48.614616) * sqrt(x1))) - x1"
21,434.0754,"((x0 + exp((x1 * 5.8550935) - 33.88466)) * sqrt(((x2 * 1.0862848) + -48.614616) * 2.41973)) + (x0 - x1)"
23,415.4511,"((exp((x1 * 5.9742303) - 34.472324) + x0) * sqrt(((x2 * 1.0905035) + -48.802288) * ((x2 / 47.74974) + x3))) - x1"
25,412.6416,"(sqrt(((x2 * 1.0905035) + -48.802288) * ((x2 / 47.74974) + x3)) * (exp((x1 * 5.9742303) - 34.472324) + x0)) - (x3 + x1)"
